pickup_date,day of week,avg fares,total fares,tip percentage,duration,frequency_of_rides,avg trip distance,tip amount avg,avg passengers,sum of passengers,avg fare per mile,Bronx_Pickups,Brooklyn_Pickups,EWR_Pickups,Manhattan_Pickups,Queens_Pickups,Staten Island_Pickups,Unknown_Pickups,Bronx_Dropoffs,Brooklyn_Dropoffs,EWR_Dropoffs,Manhattan_Dropoffs,Queens_Dropoffs,Staten Island_Dropoffs,Unknown_Dropoffs
2014-01-18,Saturday,11.362241084791762,5693732.63,11.06834533605418,11.13640351752443,501110,2.7360119534633114,1.2576120811797808,1.7753826505158548,889662,5.526862505355449,231.0,18327.0,2.0,459107.0,16913.0,2.0,6285.0,2473.0,33271.0,476.0,436442.0,21229.0,94.0,6270.0
2014-01-19,Sunday,11.647740301731218,5317181.8,11.215334032776536,10.762507694430875,456499,2.9276298962319744,1.3063329821094898,1.7609436165248993,803869,5.26966488648791,252.0,17819.0,2.0,412702.0,20140.0,3.0,5404.0,2516.0,32803.0,506.0,390918.0,23447.0,72.0,5389.0
2014-01-20,Monday,12.22402489471021,4565587.73,12.0014614197327,11.197915802081074,373493,3.14313317786411,1.4670616316771667,1.696754691520323,633726,5.340257675863961,142.0,8734.0,3.0,334012.0,26108.0,8.0,4319.0,1711.0,20230.0,536.0,325798.0,20033.0,84.0,4297.0
2014-01-21,Tuesday,13.359871148326118,3369733.58,12.194599965971198,17.589409581806937,252228,2.5524058391613935,1.6291828425075727,1.6516247204909844,416586,7.811798886325314,236.0,5043.0,3.0,231729.0,11919.0,6.0,3210.0,1145.0,9181.0,385.0,226110.0,11686.0,49.0,3197.0
2014-01-22,Wednesday,11.782384623406628,4406270.16,12.85658843941607,12.759058144437224,373971,2.7481788160044496,1.5148126993804334,1.6784536768893845,627693,5.988240769823965,211.0,7031.0,3.0,342005.0,19960.0,3.0,4604.0,1411.0,17901.0,576.0,331459.0,17219.0,55.0,4596.0
2014-01-23,Thursday,12.920800058620365,5907118.45,12.729129885655164,14.842601767214445,457179,2.8683463369927313,1.6447054217275947,1.6706257286533284,763775,6.423333539246759,205.0,13018.0,5.0,415286.0,22516.0,5.0,5924.0,1961.0,27252.0,624.0,397314.0,22645.0,116.0,5912.0
2014-01-24,Friday,12.336143799150294,6216663.97,12.349188145036575,13.890773916419779,503939,2.7363181456485806,1.5234136075993325,1.6952785952268032,854317,6.307351255160941,239.0,12013.0,2.0,463974.0,21091.0,3.0,6415.0,2113.0,25967.0,600.0,444756.0,22960.0,117.0,6444.0
2014-01-25,Saturday,11.167679797635397,5862953.72,11.455566120347955,11.324410484203282,524993,2.6373125736914584,1.2793209433268635,1.7696959768987397,929078,5.644586248458935,266.0,17205.0,0.0,483700.0,16966.0,2.0,6711.0,2359.0,31635.0,368.0,462617.0,20470.0,79.0,6690.0
2014-01-26,Sunday,11.85783251886573,5350431.9,11.796654397189878,11.12463917792331,451215,2.9850451780193477,1.3988275212481853,1.746743791762242,788157,5.362877825208322,286.0,16199.0,2.0,407033.0,21581.0,6.0,5931.0,2629.0,30244.0,592.0,386471.0,24404.0,85.0,5897.0
2014-01-27,Monday,11.859684006925479,4911367.92,12.610596071979883,12.175700053687754,414123,2.8039969043013793,1.4955768455265706,1.6411863142109953,679653,5.877769499363571,156.0,7461.0,2.0,380321.0,20599.0,2.0,5436.0,1621.0,19271.0,456.0,368406.0,18033.0,71.0,5438.0
